account_id,customer_id,account_type,branch,opening_balance,account_status,open_date
1,158,savings, Kisumu,484146.63,,2020-06-22
2,352,,Nairobi CBD,166575.93,ACTIVE,2025-08-11
3,376,Savings,MOMBASA,510156.57,Active,2024-07-11
4,302,CURRENT,,887584.3,,2021-08-26
5,161,,MOMBASA,815243.52,Dormant,2025-07-17
6,518,savings, Kisumu,178321.97,Active,2023-04-12
7,362,,Nairobi CBD,690197.85,Active,2022-04-22
8,3,CURRENT,,-1067.36,ACTIVE,2023-03-07
9,408,Savings,,10518.27,Active,2025-04-08
10,202,savings, Kisumu,767811.11,ACTIVE,2021-04-16
11,545,,Westlands,572340.06,,2025-05-13
12,125,savings,Westlands,516015.96,Active,2025-09-18
13,30,Savings,Nairobi CBD,166388.47,,2026-01-28
14,479,, Kisumu,805633.07,Active,2023-12-25
15,13,,MOMBASA,139646.78,Dormant,2024-03-02
16,363,CURRENT,Westlands,28054.85,Active,2021-06-02
17,65,CURRENT,Westlands,447087.6,,2019-06-01
18,21,Savings,Westlands,889993.4,Active,2026-01-26
19,451,Savings,,234484.03,Dormant,2024-10-18
20,46,savings,,853989.11,ACTIVE,2022-03-16
21,7,Fixed Deposit,MOMBASA,415468.31,ACTIVE,2023-12-02
22,508,Savings,Westlands,675668.12,Dormant,2026-02-01
23,424,CURRENT, Kisumu,874684.31,,2024-11-29
24,23,savings,Nairobi CBD,169334.93,ACTIVE,2020-11-18
25,389,savings,Nairobi CBD,971405.18,ACTIVE,2019-08-03
26,406,,MOMBASA,110460.78,,2019-05-20
27,344,Fixed Deposit,Nairobi CBD,961034.75,,2024-01-02
28,360,,Westlands,384300.41,,2025-03-21
29,291,CURRENT,Westlands,432754.32,ACTIVE,2019-07-12
30,26,CURRENT,Westlands,238008.71,Dormant,2020-07-18
31,95,savings,MOMBASA,542590.56,Dormant,2026-04-12
32,454,Fixed Deposit,Westlands,155018.11,ACTIVE,2019-12-14
33,222,Fixed Deposit, Kisumu,627490.46,Dormant,2023-09-14
34,305,Fixed Deposit,,200467.72,,2020-04-15
35,135,CURRENT,,899115.44,ACTIVE,2026-04-28
36,548,savings, Kisumu,606244.64,Dormant,2022-09-17
37,129,Savings,,86926.83,ACTIVE,2020-10-27
38,395,Savings,,140795.17,Active,2025-11-16
39,400,Savings,Westlands,775018.56,Dormant,2024-06-08
40,329,savings,Nairobi CBD,63421.21,ACTIVE,2024-12-24
41,513,CURRENT,Westlands,61240.55,ACTIVE,2020-04-10
42,91,savings,MOMBASA,121763.24,,2024-04-29
43,290,CURRENT, Kisumu,843585.07,,2022-03-29
44,136,CURRENT,Westlands,24721.94,ACTIVE,2025-11-12
45,423,Savings, Kisumu,244663.1,,2026-03-27
46,361,Savings,Westlands,287933.86,ACTIVE,2024-08-19
47,225,Savings, Kisumu,35198.53,Dormant,2025-03-14
48,442,savings,MOMBASA,151970.11,Active,2025-12-16
49,319,savings,,838662.7,,2021-12-02
50,534,CURRENT, Kisumu,668484.38,ACTIVE,2023-04-23
51,1,Savings,MOMBASA,900576.14,Active,2020-11-16
52,251,Savings,Nairobi CBD,790394.78,Dormant,2022-02-04
53,354,Savings, Kisumu,693150.45,,2025-11-23
54,227,CURRENT,,85383.25,,2021-05-04
55,454,CURRENT,,737303.77,,2020-11-13
56,521,Savings,Westlands,425492.15,Dormant,2021-10-26
57,502,savings,Nairobi CBD,952060.56,ACTIVE,2024-01-18
58,179,,Westlands,969261.42,Dormant,2023-12-21
59,267,savings,Nairobi CBD,163891.31,ACTIVE,2021-04-07
60,422,Savings,Westlands,634687.92,Dormant,2023-06-17
61,140,Fixed Deposit, Kisumu,234062.0,Dormant,2025-11-16
62,7,, Kisumu,128767.64,ACTIVE,2024-04-05
63,307,savings,Westlands,585491.49,Dormant,2024-08-25
64,342,Savings,,421758.41,Dormant,2021-04-20
65,159,, Kisumu,838683.38,,2022-06-19
66,212,Savings,MOMBASA,7433.16,,2024-01-10
67,212,Savings,Nairobi CBD,895291.07,ACTIVE,2023-08-12
68,202,Savings,MOMBASA,445258.22,Active,2022-12-28
69,166,CURRENT, Kisumu,466002.74,ACTIVE,2023-06-10
70,297,savings,,67177.43,Active,2025-12-11
71,480,Fixed Deposit,Nairobi CBD,746027.23,ACTIVE,2025-02-11
72,271,Savings, Kisumu,956516.57,,2024-03-26
73,195,,MOMBASA,3343.64,Active,2025-08-06
74,293,,MOMBASA,651338.3,Active,2022-12-24
75,142,Savings,Nairobi CBD,773310.74,Dormant,2023-03-06
76,304,CURRENT,Westlands,961832.64,Dormant,2023-08-29
77,105,CURRENT,,323306.83,Dormant,2021-01-13
78,365,CURRENT,Westlands,365368.36,ACTIVE,2022-09-25
79,260,savings,Nairobi CBD,36459.25,,2026-01-02
80,52,savings, Kisumu,420094.91,Dormant,2022-09-29
81,307,,,624626.63,Dormant,2020-01-07
82,233,savings,Westlands,440404.32,,2020-08-30
83,92,Savings, Kisumu,476798.41,Dormant,2022-10-26
84,382,Savings,Nairobi CBD,840027.22,,2025-02-24
85,147,CURRENT,Nairobi CBD,659933.21,,2025-06-22
86,347,Savings, Kisumu,3841.91,Dormant,2023-06-06
87,169,Fixed Deposit,MOMBASA,-785.49,ACTIVE,2021-07-13
88,201,Fixed Deposit,Nairobi CBD,540435.25,,2024-07-20
89,439,,Westlands,974240.99,Active,2019-05-16
90,62,CURRENT,,656728.29,,2024-09-18
91,378,Fixed Deposit,Westlands,295808.43,ACTIVE,2022-09-09
92,544,Savings,Westlands,218595.71,,2025-05-12
93,88,savings,,368869.93,,2021-01-29
94,369,,Westlands,562639.08,,2020-01-28
95,268,Savings,Westlands,176404.16,Dormant,2023-01-27
96,115,savings,MOMBASA,647922.53,Dormant,2021-09-22
97,544,CURRENT, Kisumu,223125.16,,2023-11-12
98,232,,,695207.5,Active,2020-04-09
99,418,Savings, Kisumu,129956.37,Active,2023-04-14
100,528,Savings, Kisumu,829361.78,,2022-04-22
101,176,savings,,472484.06,Active,2021-02-28
102,141,CURRENT,,52842.31,Dormant,2022-01-12
103,49,CURRENT,Nairobi CBD,10246.96,Dormant,2025-03-24
104,471,CURRENT,Nairobi CBD,705963.6,,2019-12-28
105,90,,Westlands,560774.06,ACTIVE,2020-05-12
106,173,CURRENT,MOMBASA,803130.37,Active,2023-09-05
107,262,Savings,Westlands,369879.53,ACTIVE,2022-06-01
108,501,Savings,,350209.73,ACTIVE,2019-06-25
109,336,,Nairobi CBD,29317.19,Dormant,2021-07-28
110,261,CURRENT,Westlands,692397.44,Active,2020-10-18
111,451,Savings,Nairobi CBD,485488.0,Active,2019-10-09
112,265,savings,Westlands,552017.45,ACTIVE,2024-04-20
113,390,savings,,874780.34,ACTIVE,2024-04-09
114,455,Savings,Nairobi CBD,339079.86,Dormant,2025-09-08
115,499,, Kisumu,872424.08,Active,2023-05-07
116,77,savings,,817389.51,,2024-10-23
117,488,savings, Kisumu,390383.17,Active,2020-10-12
118,370,CURRENT,,212395.93,Dormant,2022-02-21
119,45,savings,Westlands,818275.75,,2020-05-02
120,340,, Kisumu,384820.71,ACTIVE,2021-11-26
121,322,Savings,MOMBASA,577057.45,ACTIVE,2026-02-02
122,233,Savings,Westlands,456704.75,Active,2024-08-07
123,150,savings,MOMBASA,381353.31,Active,2022-07-17
124,513,CURRENT,MOMBASA,566805.64,Dormant,2022-06-14
125,35,,Nairobi CBD,871744.62,,2019-07-28
126,102,CURRENT,MOMBASA,792007.3,Dormant,2025-08-12
127,145,Savings,MOMBASA,962772.04,ACTIVE,2022-09-23
128,372,,Westlands,347181.95,,2022-03-06
129,343,Savings,MOMBASA,670111.87,,2022-06-01
130,516,CURRENT,Westlands,808263.86,ACTIVE,2021-07-15
131,155,savings,Westlands,2268.66,,2023-04-01
132,415,Fixed Deposit, Kisumu,566570.54,ACTIVE,2020-07-27
133,173,,Nairobi CBD,139533.98,ACTIVE,2021-05-10
134,259,,,657153.92,ACTIVE,2025-08-20
135,76,savings,,924402.08,Dormant,2019-08-08
136,312,,MOMBASA,987399.55,ACTIVE,2024-09-01
137,439,Savings, Kisumu,315853.56,Dormant,2023-01-12
138,283,CURRENT,,18187.36,Dormant,2024-05-04
139,275,savings,Nairobi CBD,214405.82,,2022-03-31
140,459,savings,,279048.55,Active,2024-02-15
141,202,savings,Nairobi CBD,962955.86,Active,2024-09-22
142,82,Savings,,337866.15,Dormant,2020-04-28
143,6,savings,MOMBASA,534624.14,Active,2024-05-27
144,331,Savings,Westlands,318155.58,Active,2019-07-21
145,498,Fixed Deposit,,677358.46,ACTIVE,2023-02-17
146,179,Savings, Kisumu,795243.37,Active,2019-10-19
147,343,Fixed Deposit,,396555.16,,2025-09-13
148,14,Savings,MOMBASA,561960.0,ACTIVE,2025-05-12
149,58,Fixed Deposit,,708694.64,ACTIVE,2021-11-11
150,161,Savings,Nairobi CBD,151972.46,Dormant,2019-08-24
151,543,Savings,MOMBASA,813087.37,,2024-03-15
152,353,,,865216.31,Dormant,2023-07-12
153,339,savings,,254120.07,,2025-12-26
154,33,CURRENT,,977271.76,,2024-06-16
155,285,CURRENT,,527282.35,ACTIVE,2019-08-17
156,136,CURRENT,Nairobi CBD,555922.75,Active,2024-06-30
157,372,savings,Westlands,397848.35,Active,2022-03-07
158,29,,Westlands,117833.52,Dormant,2022-10-03
159,187,CURRENT,,362437.42,Dormant,2021-04-01
160,182,savings,,24188.18,Dormant,2023-02-22
161,453,Fixed Deposit,Westlands,634306.22,ACTIVE,2021-10-07
162,399,Fixed Deposit,Westlands,320450.92,Active,2022-12-06
163,111,Savings,Nairobi CBD,805785.49,,2025-01-05
164,360,Savings,Westlands,562022.1,,2026-01-27
165,385,savings,Nairobi CBD,248188.41,ACTIVE,2021-02-23
166,445,savings,Westlands,351075.81,ACTIVE,2020-09-10
167,436,CURRENT,MOMBASA,878817.36,,2019-07-29
168,222,,Westlands,474758.06,ACTIVE,2022-12-02
169,140,CURRENT,MOMBASA,83875.09,Active,2020-10-23
170,498,savings,Westlands,316367.04,,2021-06-28
171,218,,Nairobi CBD,882272.33,Dormant,2019-11-09
172,370,Savings, Kisumu,178208.7,Dormant,2023-05-22
173,305,Savings,Nairobi CBD,147687.58,Active,2024-06-25
174,137,CURRENT,Westlands,500142.78,ACTIVE,2025-10-20
175,100,savings, Kisumu,681183.41,Active,2022-03-15
176,425,CURRENT, Kisumu,881361.08,Active,2019-09-27
177,241,savings,Nairobi CBD,33063.38,Dormant,2024-06-17
178,441,Savings,Nairobi CBD,43560.25,ACTIVE,2025-10-06
179,67,Savings,Nairobi CBD,956951.72,Dormant,2025-11-09
180,539,Fixed Deposit,Nairobi CBD,174876.1,Dormant,2025-09-13
181,513,Savings,,350340.56,,2023-02-11
182,80,CURRENT,Westlands,852442.63,Dormant,2022-01-25
183,75,CURRENT,Westlands,10283.16,ACTIVE,2023-06-22
184,71,Savings,Westlands,506295.05,,2023-03-19
185,372,CURRENT,Nairobi CBD,322340.51,Active,2022-06-14
186,465,,MOMBASA,546554.09,,2020-01-01
187,276,Fixed Deposit, Kisumu,314856.59,,2023-11-11
188,393,savings, Kisumu,759762.77,,2019-08-05
189,147,Savings,Westlands,605869.08,ACTIVE,2024-07-07
190,387,savings,Westlands,661744.03,Active,2019-07-04
191,35,Savings, Kisumu,692660.31,ACTIVE,2023-04-26
192,454,,MOMBASA,452771.48,Active,2021-04-20
193,485,Fixed Deposit,,339069.84,,2021-10-26
194,241,Fixed Deposit,MOMBASA,710733.81,,2022-08-19
195,539,CURRENT,,657898.97,ACTIVE,2025-12-25
196,74,,Westlands,923567.29,ACTIVE,2022-05-15
197,269,Fixed Deposit,MOMBASA,519653.52,,2024-01-07
198,227,savings,Nairobi CBD,926965.34,ACTIVE,2023-03-12
199,537,savings,,164978.53,ACTIVE,2024-03-25
200,245,savings,Westlands,820994.43,,2021-02-21
201,182,Savings,MOMBASA,378168.4,,2024-03-05
202,126,Fixed Deposit,Westlands,701134.87,,2026-02-24
203,106,CURRENT,MOMBASA,661319.35,ACTIVE,2023-02-27
204,464,Savings,MOMBASA,392526.0,,2020-03-07
205,115,Fixed Deposit, Kisumu,729332.41,Dormant,2021-03-30
206,530,savings,Nairobi CBD,678580.84,ACTIVE,2021-07-19
207,501,,Westlands,620859.24,ACTIVE,2021-02-16
208,391,CURRENT,Nairobi CBD,553981.43,Active,2025-04-25
209,266,Savings,,174321.6,ACTIVE,2025-08-22
210,332,CURRENT,Westlands,261731.01,,2022-12-05
211,94,, Kisumu,858185.42,Dormant,2025-11-28
212,132,Fixed Deposit,MOMBASA,615950.78,ACTIVE,2025-04-16
213,45,Fixed Deposit, Kisumu,364010.3,ACTIVE,2024-07-12
214,418,Fixed Deposit,,809880.55,ACTIVE,2025-05-20
215,245,Fixed Deposit,,125121.23,Dormant,2019-11-19
216,382,Savings,Westlands,326097.83,Active,2024-08-28
217,82,Fixed Deposit, Kisumu,390226.03,,2022-10-18
218,509,Savings,Nairobi CBD,590740.45,,2021-05-26
219,474,Fixed Deposit, Kisumu,994904.88,Dormant,2022-07-20
220,67,Fixed Deposit, Kisumu,488726.5,Active,2021-05-05
221,238,savings, Kisumu,539373.67,ACTIVE,2020-06-19
222,339,Fixed Deposit, Kisumu,113709.79,Dormant,2020-12-01
223,79,,Nairobi CBD,97214.99,Active,2025-02-22
224,221,, Kisumu,50279.72,Dormant,2023-02-23
225,344,Fixed Deposit,Nairobi CBD,548129.16,,2020-02-07
226,144,Fixed Deposit,Nairobi CBD,871292.37,Dormant,2022-03-29
227,329,CURRENT,Westlands,515810.23,Active,2020-12-10
228,191,,MOMBASA,517610.79,Active,2024-11-23
229,321,Fixed Deposit,MOMBASA,662274.48,ACTIVE,2020-03-23
230,405,, Kisumu,679468.19,ACTIVE,2023-04-29
231,312,savings, Kisumu,800981.92,ACTIVE,2026-03-10
232,313,savings,Westlands,47367.76,ACTIVE,2023-04-17
233,476,Fixed Deposit,,136989.59,ACTIVE,2026-02-25
234,206,Fixed Deposit,,662212.7,ACTIVE,2023-08-31
235,9,,Nairobi CBD,405973.26,ACTIVE,2022-06-01
236,37,CURRENT,Westlands,795068.9,ACTIVE,2019-12-02
237,206,savings,,608780.03,,2022-07-12
238,456,savings,Westlands,53004.96,,2020-11-08
239,128,Savings,Westlands,861943.54,Active,2020-08-05
240,510,savings,Nairobi CBD,922010.45,Dormant,2025-11-30
241,511,savings,MOMBASA,800938.37,Dormant,2026-01-31
242,150,savings,,96366.62,Active,2024-07-18
243,207,Savings,Nairobi CBD,411764.6,ACTIVE,2019-10-08
244,454,Fixed Deposit,Westlands,867515.39,Dormant,2019-05-21
245,43,savings, Kisumu,290103.29,Dormant,2025-10-13
246,327,,Westlands,306114.46,ACTIVE,2019-06-30
247,333,,Westlands,147657.31,Dormant,2023-05-02
248,401,Savings,MOMBASA,376874.5,ACTIVE,2021-11-11
249,229,,Nairobi CBD,194146.84,Dormant,2021-10-22
250,189,Fixed Deposit,MOMBASA,677301.37,Active,2025-10-05
251,40,CURRENT,Nairobi CBD,655781.7,Dormant,2021-06-03
252,537,,Nairobi CBD,287212.45,ACTIVE,2020-10-28
253,19,Fixed Deposit,Nairobi CBD,196512.3,ACTIVE,2019-07-03
254,311,,,538419.99,Active,2020-09-25
255,207,savings, Kisumu,267529.95,Dormant,2022-04-13
256,308,Savings,,596787.31,Active,2022-05-13
257,353,savings,Westlands,654814.54,Active,2021-06-19
258,177,CURRENT,MOMBASA,446871.79,Dormant,2019-06-13
259,338,CURRENT,Westlands,105196.47,ACTIVE,2020-12-02
260,72,, Kisumu,91147.0,Active,2021-09-01
261,166,, Kisumu,458703.84,Active,2021-01-18
262,41,,,92712.92,Dormant,2021-03-01
263,426,,MOMBASA,71614.45,Dormant,2022-12-11
264,369,savings,Nairobi CBD,328289.03,,2024-06-18
265,311,savings,MOMBASA,89483.25,Dormant,2020-02-11
266,120,savings, Kisumu,266821.46,Active,2021-12-18
267,333,Fixed Deposit,Westlands,159846.9,Active,2022-10-21
268,519,CURRENT,MOMBASA,949142.02,ACTIVE,2022-06-26
269,414,,Westlands,987978.71,Dormant,2022-06-02
270,548,,Westlands,890062.07,Active,2020-07-23
271,109,Savings, Kisumu,790639.69,Dormant,2024-11-22
272,235,Savings,Westlands,149425.33,ACTIVE,2023-03-02
273,32,Fixed Deposit, Kisumu,622362.6,Active,2025-09-13
274,299,,Nairobi CBD,79747.66,Dormant,2023-10-19
275,240,savings,,773824.9,Active,2022-06-09
276,252,Savings,,333981.72,Active,2020-09-05
277,43,savings,,771720.05,Dormant,2021-10-05
278,311,CURRENT,Nairobi CBD,809603.67,,2019-09-24
279,188,Savings,MOMBASA,940009.81,,2023-03-26
280,417,Savings,Nairobi CBD,787556.22,Dormant,2019-09-19
281,524,savings,Westlands,796647.43,Dormant,2023-12-08
282,209,savings,Westlands,684466.44,Active,2021-07-23
283,3,Fixed Deposit,Nairobi CBD,494814.98,ACTIVE,2024-08-03
284,71,,Nairobi CBD,195034.12,Active,2022-03-06
285,375,Fixed Deposit,Nairobi CBD,649200.67,ACTIVE,2019-10-22
286,167,Fixed Deposit, Kisumu,130616.05,ACTIVE,2026-03-17
287,55,Fixed Deposit,,160548.06,,2025-01-07
288,526,CURRENT,,529329.6,Active,2019-08-29
289,70,CURRENT,Westlands,236306.56,,2025-09-14
290,243,Fixed Deposit,,907659.5,Active,2026-01-04
291,402,Fixed Deposit,MOMBASA,824898.18,,2020-01-17
292,90,savings,MOMBASA,661595.98,,2024-07-28
293,313,Savings,MOMBASA,486498.26,Active,2019-10-15
294,114,Fixed Deposit, Kisumu,407860.65,ACTIVE,2024-01-07
295,469,savings,MOMBASA,543131.44,Active,2020-04-01
296,363,Fixed Deposit, Kisumu,617372.71,ACTIVE,2021-04-28
297,344,Savings,MOMBASA,183225.22,,2024-10-09
298,418,,Westlands,116314.18,Active,2021-12-17
299,385,savings, Kisumu,267838.0,Dormant,2023-10-15
300,372,savings,Westlands,348307.53,,2021-02-14
301,316,Fixed Deposit,MOMBASA,955562.65,Dormant,2020-10-22
302,167,Fixed Deposit,,4103.82,Dormant,2023-12-16
303,107,savings, Kisumu,563086.13,ACTIVE,2025-04-18
304,361,Savings,,733244.42,,2020-10-03
305,139,CURRENT, Kisumu,71282.32,ACTIVE,2025-05-15
306,455,CURRENT,MOMBASA,358630.57,,2022-03-10
307,535,Savings, Kisumu,490807.35,Active,2019-08-25
308,59,Savings,,374059.52,ACTIVE,2019-11-27
309,525,savings,,748566.22,Active,2020-07-19
310,334,Fixed Deposit,Westlands,2105.6,ACTIVE,2024-08-25
311,148,savings,,917590.89,Active,2024-08-24
312,402,savings,,639703.53,ACTIVE,2021-04-13
313,248,CURRENT,,20933.28,,2026-04-18
314,87,Fixed Deposit, Kisumu,962837.81,ACTIVE,2021-03-13
315,285,CURRENT,Westlands,832665.15,,2023-12-14
316,50,,MOMBASA,893190.41,Dormant,2021-08-28
317,529,Savings,Westlands,304541.52,Dormant,2024-07-11
318,320,Savings,,294120.42,,2021-09-28
319,369,savings,MOMBASA,305950.53,,2025-12-27
320,203,,MOMBASA,927687.6,,2020-06-10
321,112,CURRENT,MOMBASA,390940.89,,2021-01-02
322,484,CURRENT,Nairobi CBD,199994.46,,2020-05-28
323,514,Fixed Deposit,Westlands,777539.61,ACTIVE,2020-12-19
324,46,savings,MOMBASA,755862.63,,2022-10-21
325,422,Savings,MOMBASA,388600.13,,2025-05-27
326,543,CURRENT,Nairobi CBD,256025.28,Active,2026-01-24
327,43,,,302114.38,ACTIVE,2021-07-13
328,272,savings,Nairobi CBD,874978.13,Active,2020-05-28
329,423,Savings,MOMBASA,161750.4,Dormant,2022-04-12
330,121,Fixed Deposit, Kisumu,840822.96,ACTIVE,2025-07-15
331,410,Fixed Deposit, Kisumu,804761.18,ACTIVE,2020-08-15
332,191,savings,,734337.83,,2020-01-09
333,296,savings,Westlands,335422.71,Active,2024-04-28
334,424,Savings,,-1876.63,Dormant,2020-10-11
335,443,Fixed Deposit,Westlands,571591.25,ACTIVE,2022-03-28
336,136,savings,Westlands,669907.91,Dormant,2019-07-23
337,513,Savings,MOMBASA,898309.65,,2021-03-23
338,295,savings, Kisumu,610414.24,ACTIVE,2026-01-27
339,69,,,823367.58,ACTIVE,2023-05-04
340,219,savings,MOMBASA,89309.24,Active,2020-04-21
341,369,Savings,,67541.33,ACTIVE,2022-03-22
342,224,Savings, Kisumu,627387.51,Dormant,2024-07-27
343,458,CURRENT,,54395.73,,2022-03-21
344,34,Savings,,826528.5,Active,2022-06-16
345,496,savings,MOMBASA,627596.46,ACTIVE,2026-05-08
346,339,,,226441.7,Dormant,2023-05-12
347,289,,,711662.75,Dormant,2024-02-29
348,178,Savings,,264398.36,ACTIVE,2019-12-04
349,65,CURRENT,Nairobi CBD,582844.5,,2023-04-18
350,400,,,406073.19,Active,2022-11-12
351,381,,MOMBASA,656115.05,ACTIVE,2019-11-15
352,74,Fixed Deposit,,129411.96,,2024-05-15
353,466,savings,MOMBASA,613763.28,Active,2023-02-05
354,413,savings,MOMBASA,758353.95,Active,2022-09-24
355,529,Savings, Kisumu,776317.7,Dormant,2023-07-15
356,272,savings,,754323.18,ACTIVE,2025-05-21
357,24,,Nairobi CBD,58043.08,Dormant,2024-11-01
